"","V1","주소","lon","lat","자치구"
"1",122,"영등포구 영등포동 647-2",126.9021409,37.5106677,"영등포구"
"2",123,"영등포구 대림동702",126.9004086,37.4935084,"영등포구"
"3",124,"영등포구 대림동 993-16",126.9024483,37.4873525,"영등포구"
"4",125,"영등포구 신길동 1444",126.9191481,37.5026701,"영등포구"
