"","long","lat","order","hole","piece","id","group"
"91",126.90666951,37.54141763,28285,FALSE,"1","11560","11560.1"
"92",126.90675226,37.5414177,28286,FALSE,"1","11560","11560.1"
"93",126.90683889,37.54141805,28287,FALSE,"1","11560","11560.1"
"94",126.90698174,37.54141816,28288,FALSE,"1","11560","11560.1"
"95",126.90707544,37.54141824,28289,FALSE,"1","11560","11560.1"
"96",126.90723403,37.54141836,28290,FALSE,"1","11560","11560.1"
"97",126.90739934,37.54141822,28291,FALSE,"1","11560","11560.1"
"98",126.90756695,37.54141863,28292,FALSE,"1","11560","11560.1"
"99",126.90798489,37.54141896,28293,FALSE,"1","11560","11560.1"
"100",126.90816966,37.54141883,28294,FALSE,"1","11560","11560.1"
"101",126.90827326,37.54141891,28295,FALSE,"1","11560","11560.1"
"102",126.90885086,37.54141964,28296,FALSE,"1","11560","11560.1"
"103",126.9090036,37.54141976,28297,FALSE,"1","11560","11560.1"
"104",126.90933175,37.54141974,28298,FALSE,"1","11560","11560.1"
"105",126.91024969,37.54142045,28299,FALSE,"1","11560","11560.1"
"106",126.91037168,37.54142055,28300,FALSE,"1","11560","11560.1"
"107",126.91086582,37.54142093,28301,FALSE,"1","11560","11560.1"
"108",126.91142469,37.54142136,28302,FALSE,"1","11560","11560.1"
"109",126.91160237,37.54142149,28303,FALSE,"1","11560","11560.1"
"110",126.91185025,37.54142168,28304,FALSE,"1","11560","11560.1"
"111",126.91226219,37.54142199,28305,FALSE,"1","11560","11560.1"
"112",126.91393453,37.54142324,28306,FALSE,"1","11560","11560.1"
"113",126.91432984,37.54142354,28307,FALSE,"1","11560","11560.1"
"114",126.91554887,37.54142471,28308,FALSE,"1","11560","11560.1"
"115",126.91667049,37.54142524,28309,FALSE,"1","11560","11560.1"
"116",126.91668321,37.54142525,28310,FALSE,"1","11560","11560.1"
"117",126.916694,37.54142526,28311,FALSE,"1","11560","11560.1"
"118",126.91670248,37.54142526,28312,FALSE,"1","11560","11560.1"
"119",126.91670831,37.54142527,28313,FALSE,"1","11560","11560.1"
"120",126.91672565,37.54142528,28314,FALSE,"1","11560","11560.1"
"121",126.91674615,37.5414253,28315,FALSE,"1","11560","11560.1"
"122",126.9167488,37.5414253,28316,FALSE,"1","11560","11560.1"
"123",126.91676454,37.54142531,28317,FALSE,"1","11560","11560.1"
"124",126.91676648,37.54142531,28318,FALSE,"1","11560","11560.1"
"125",126.91713917,37.54142501,28319,FALSE,"1","11560","11560.1"
"126",126.91715597,37.54142502,28320,FALSE,"1","11560","11560.1"
"127",126.92158248,37.54142867,28321,FALSE,"1","11560","11560.1"
"128",126.921801,37.54142882,28322,FALSE,"1","11560","11560.1"
"129",126.92241624,37.54142536,28323,FALSE,"1","11560","11560.1"
"130",126.92283453,37.54061873,28324,FALSE,"1","11560","11560.1"
"131",126.92307612,37.54045412,28325,FALSE,"1","11560","11560.1"
"132",126.92326839,37.54038086,28326,FALSE,"1","11560","11560.1"
"133",126.92346343,37.54030712,28327,FALSE,"1","11560","11560.1"
"134",126.92370324,37.54020839,28328,FALSE,"1","11560","11560.1"
"135",126.92405039,37.54006411,28329,FALSE,"1","11560","11560.1"
"136",126.92443977,37.53990221,28330,FALSE,"1","11560","11560.1"
"137",126.92482298,37.53974314,28331,FALSE,"1","11560","11560.1"
"138",126.92485917,37.53976829,28332,FALSE,"1","11560","11560.1"
"139",126.92504464,37.53970178,28333,FALSE,"1","11560","11560.1"
"140",126.925099,37.53968879,28334,FALSE,"1","11560","11560.1"
"141",126.92535647,37.53960839,28335,FALSE,"1","11560","11560.1"
"142",126.92536802,37.53962426,28336,FALSE,"1","11560","11560.1"
"143",126.92570997,37.53950909,28337,FALSE,"1","11560","11560.1"
"144",126.92586465,37.5394572,28338,FALSE,"1","11560","11560.1"
"145",126.92617991,37.53928398,28339,FALSE,"1","11560","11560.1"
"146",126.92647608,37.53919526,28340,FALSE,"1","11560","11560.1"
"147",126.92673485,37.53911747,28341,FALSE,"1","11560","11560.1"
"148",126.92683692,37.53908694,28342,FALSE,"1","11560","11560.1"
"149",126.92710041,37.53903475,28343,FALSE,"1","11560","11560.1"
"150",126.92724234,37.5391075,28344,FALSE,"1","11560","11560.1"
"151",126.92724233,37.53911499,28345,FALSE,"1","11560","11560.1"
"152",126.9272818,37.53913465,28346,FALSE,"1","11560","11560.1"
"153",126.92732039,37.53912084,28347,FALSE,"1","11560","11560.1"
