"","vl","hl","index"
"1",126.8782102,37.4853911,1
"2",126.8782102,37.4970871333333,2
"3",126.8782102,37.5087831666667,3
"4",126.8782102,37.5204792,4
"5",126.8782102,37.5321752333333,5
"6",126.8782102,37.5438712666667,6
"7",126.8782102,37.5555673,7
"8",126.9498951,37.4853911,1
"9",126.9498951,37.4970871333333,2
"10",126.9498951,37.5087831666667,3
"11",126.9498951,37.5204792,4
"12",126.9498951,37.5321752333333,5
"13",126.9498951,37.5438712666667,6
"14",126.9498951,37.5555673,7
