"","구코드","동코드","위도","경도"
"141","680","10100",37.5037724,127.0472783
"142","680","10100",37.5139329,127.0305638
"143","680","11000",37.5101274,127.0125618
"144","680","11000",37.5029313,127.0105873
"145","680","10800",37.4928198,127.0595408
"146","680","10800",37.4962987,127.0598689
"147","680","11000",37.5097258,127.0163539
"148","680","11000",37.5096572,127.0165503
"149","680","11000",37.5108376,127.0134332
"150","680","11000",37.5111242,127.0136025
"151","680","11800",37.5127294,127.0130837
"152","680","10100",37.5279329,127.0365627
"153","680","10100",37.5026572,127.0378165
"154","680","10200",37.4844151,127.0126731
"155","680","10200",37.469142,127.0373058
"156","680","11800",37.4996443,127.0331035
"157","680","10100",37.5026845,127.0256254
"158","680","10100",37.5025449,127.0251456
"159","680","10200",37.4859779,127.0107457
"160","680","11000",37.5044372,127.0098217
"161","680","10800",37.5140708,127.0283265
"162","680","10100",37.5146572,127.0303109
"163","680","11800",37.4847618,127.0109119
"164","680","11800",37.4858899,127.0103625
"165","680","11800",37.4997282,127.0340253
"166","680","10800",37.4908344,127.0349766
"167","680","10100",37.4979437,127.0433064
"168","680","10100",37.5026809,127.0377119
"169","680","10100",37.4934553,127.0613052
"170","680","10800",37.5134664,127.028573
"171","680","10800",37.5139894,127.0283067
"172","680","10800",37.514021,127.0281786
"173","680","10100",37.5126509,127.0203673
"174","680","10800",37.5105741,127.0191597
"175","680","10100",37.5106104,127.0196817
"176","680","11800",37.5047662,127.0106247
"177","680","10100",37.5136378,127.0318864
"178","680","10800",37.5135841,127.0319832
"179","680","10100",37.5104003,127.0193919
"180","680","10600",37.5133987,127.0124285
"181","680","10700",37.5017562,127.0399691
"182","680","10300",37.5023032,127.0411241
"183","680","10300",37.5247737,127.0250274
"184","680","10400",37.4860102,127.0752974
"185","680","11400",37.5247437,127.0501872
"186","680","10600",37.5285024,127.0300399
"187","680","10800",37.5152237,127.0353981
"188","680","11500",37.5241982,127.0487952
"189","680","10600",37.4877041,127.0532803
"190","680","10100",37.4966217,127.0597125
"191","680","10100",37.4967271,127.0243324
"192","680","11000",37.516333,127.0094482
"193","680","10800",37.5300288,127.0237143
"194","680","10100",37.5025741,127.03763
"195","680","11000",37.5043619,127.0241505
"196","680","11800",37.4812947,127.0430837
"197","680","11800",37.4810124,127.0441144
"198","680","10800",37.484944,127.0565306
"199","680","10500",37.481765,127.080128
"200","680","10300",37.482059,127.0530429
"201","680","10100",37.5126793,127.0525334
"202","680","10700",37.5015397,127.0398853
"203","680","10800",37.4862994,127.0757745
"204","680","10700",37.465211,127.1078143
"205","680","10700",37.4646698,127.1065451
"206","680","10700",37.4753826,127.1063286
"207","680","10700",37.4924613,127.0280566
"208","680","10700",37.4976427,127.0543959
"209","680","10800",37.4969379,127.0548217
"210","680","10800",37.4991369,127.0441921
"211","680","10800",37.5021467,127.0431856
"212","680","10800",37.5017868,127.0429701
"213","680","10500",37.4922027,127.0845766
"214","680","10600",37.516129,127.05954
"215","680","10400",37.4850631,127.0578223
"216","680","10800",37.4821682,127.048364
"217","680","10800",37.5320982,127.0269016
"218","680","10800",37.5308735,127.024578
"219","680","10800",37.530955,127.0244197
"220","680","11000",37.5156971,127.00917
"221","680","11000",37.5153774,127.0088365
"222","680","11000",37.5150538,127.0103338
"223","680","10600",37.5148264,127.0106678
"224","680","10600",37.5135136,127.0125159
"225","680","10600",37.5289176,127.0369611
"226","680","11800",37.5070368,127.0794811
"227","680","10500",37.4912115,127.0806839
"228","680","10100",37.4895884,127.1176996
"229","680","10100",37.5248587,127.0378545
"230","680","10100",37.5194836,127.0281684
"231","680","11800",37.4916696,127.0821647
"232","680","10700",37.4899367,127.0558542
"233","680","11400",37.5222098,127.1158714
"234","680","10700",37.4897693,127.05975
"235","680","10700",37.4925835,127.106394
"236","680","11400",37.5149844,127.0652103
"237","680","11400",37.5152144,127.0663182
"238","680","11400",37.4927183,127.1104948
"239","680","11400",37.4903921,127.1115037
"240","680","10700",37.4937002,127.0796903
"241","680","10700",37.5178874,127.0290869
"242","680","10700",37.5213614,127.030019
"243","680","11800",37.4857918,127.0863377
"244","680","10700",37.4928144,127.0599083
"245","680","10700",37.516978,127.0658543
"246","680","10800",37.5154386,127.066017
"247","680","11400",37.5215267,127.0228123
"248","680","11400",37.5122746,127.0670175
"249","680","11400",37.4880734,127.100845
"250","680","10700",37.5227882,127.0197068
"251","680","10700",37.5225546,127.0196893
"252","680","10700",37.5180226,127.0192363
"253","680","10700",37.4932517,127.1102254
"254","680","10700",37.493756,127.1099803
"255","680","10700",37.4932527,127.0831803
"256","680","10800",37.5154883,127.0665588
"257","680","10700",37.5152573,127.0652757
"258","680","10800",37.5150825,127.064369
"259","680","10800",37.5149306,127.0634382
"260","680","11400",37.4886379,127.1021209
"261","680","11400",37.4907107,127.1011656
"262","680","11400",37.4886933,127.1057373
"263","680","11400",37.4885141,127.1049201
"264","680","10500",37.5200169,127.1144348
"265","680","11500",37.4947413,127.1094895
"266","680","11500",37.4949493,127.109694
"267","680","11500",37.4975405,127.1080748
"268","680","11400",37.4891689,127.1044826
"269","680","10700",37.5162265,127.1165703
"270","680","11400",37.4884368,127.100305
"271","680","10700",37.4933295,127.0830585
"272","680","10700",37.493432,127.0830885
"273","680","10800",37.5025594,127.0819775
"274","680","10800",37.5098786,127.067414
"275","680","11500",37.4904634,127.1117851
"276","680","11400",37.49067,127.1117415
"277","680","11500",37.4890584,127.1122883
"278","680","11400",37.5225678,127.1154961
"279","680","10700",37.5101308,127.0663667
"280","680","10600",37.508208,127.0670535
"281","680","10600",37.5085572,127.0668523
"282","680","10600",37.5098096,127.0655927
"283","680","11400",37.5094442,127.0657082
"284","680","10500",37.4897738,127.1091142
"285","680","10300",37.4893845,127.0557207
"286","680","10400",37.5063983,127.1158504
"287","680","11800",37.4934963,127.0796179
"288","680","10600",37.5275686,127.0381775
"289","680","11400",37.4897611,127.0985241
"290","680","11800",37.4838132,127.0866117
"291","680","11400",37.4899926,127.1014928
"292","680","10500",37.489664,127.1094334
"293","680","10700",37.5216236,127.0227223
"294","680","10700",37.4897964,127.0596226
"295","680","10300",37.4793705,127.0507856
"296","680","10700",37.5057547,127.0664488
"297","680","10700",37.5152027,127.1104194
"298","680","11800",37.4854996,127.083495
"299","680","10700",37.4921983,127.0581823
