"","구코드","동코드","위도","경도"
"141","560","13200",37.4977004,126.9199873
"142","560","13200",37.5094554,126.9240975
"143","560","13200",37.5091573,126.9242175
"144","560","13200",37.5088555,126.9251452
"145","560","13300",37.4959237,126.8827752
"146","560","13200",37.4926945,126.9035896
"147","560","13200",37.5034837,126.8954084
"148","560","13200",37.5122884,126.917115
"149","560","12400",37.5019542,126.934458
"150","560","12300",37.5021806,126.9346463
"151","560","12300",37.5076586,126.947291
"152","560","13200",37.5117086,126.9230955
"153","560","12000",37.5027914,126.8922708
"154","560","13200",37.4974495,126.9172807
"155","560","13200",37.5161361,126.8828555
"156","560","10900",37.5214424,126.8954108
"157","560","11000",37.492241,126.895781
"158","560","11000",37.520729,126.9286364
"159","560","13200",37.4915702,126.9023502
"160","560","13200",37.5049866,126.9052682
"161","560","13300",37.4977178,126.9220021
"162","560","13200",37.5048187,126.8889123
"163","560","13200",37.5045509,126.8878132
"164","560","11000",37.4920549,126.895716
"165","560","13300",37.5139507,126.8903146
"166","560","13300",37.5120024,126.9099959
"167","560","13300",37.5108309,126.9102851
"168","560","11000",37.5206373,126.9225706
"169","560","11000",37.520804,126.9228349
"170","560","11000",37.4907022,126.8930719
"171","560","11000",37.520999,126.9318071
"172","560","11000",37.5206796,126.9285673
"173","560","13300",37.5046694,126.9392587
"174","560","13200",37.4999,126.9172977
"175","560","13200",37.5109873,126.8842888
"176","560","13200",37.5106526,126.8847714
"177","560","11900",37.5091498,126.8850218
"178","560","11000",37.5222317,126.9212718
"179","560","11000",37.4913685,126.8946295
"180","560","11000",37.491019,126.8935559
"181","560","12300",37.5023558,126.9347746
"182","560","13300",37.5120114,126.8820937
"183","560","13300",37.5110454,126.9265779
"184","560","11000",37.5227607,126.9319102
"185","560","11000",37.5217967,126.9273934
"186","560","12000",37.5083153,126.885118
"187","560","13200",37.4950178,126.8881164
"188","560","11000",37.4905774,126.8929173
"189","560","13200",37.5152273,126.8875904
"190","560","11000",37.4923924,126.8958077
"191","560","10100",37.5073119,126.9482504
"192","560","11000",37.5200968,126.9217024
"193","560","11000",37.5219457,126.9274432
"194","560","12200",37.5001563,126.9163
"195","560","13200",37.5000084,126.9167132
"196","560","13200",37.5000974,126.9168569
"197","560","13200",37.4999113,126.9168524
"198","560","13300",37.4943714,126.8871224
"199","560","12300",37.4940985,126.8985644
"200","560","12000",37.5082679,126.8852353
"201","560","11800",37.5079949,126.8855293
"202","560","13200",37.497664,126.9208573
