"","long","lat","order","hole","piece","id","group"
"91",127.06790058,37.51854968,34294,FALSE,"1","11680","11680.1"
"92",127.06789984,37.51850322,34295,FALSE,"1","11680","11680.1"
"93",127.06789928,37.51846943,34296,FALSE,"1","11680","11680.1"
"94",127.0678989,37.51843903,34297,FALSE,"1","11680","11680.1"
"95",127.06789853,37.51842129,34298,FALSE,"1","11680","11680.1"
"96",127.06789742,37.51836187,34299,FALSE,"1","11680","11680.1"
"97",127.06789631,37.51830979,34300,FALSE,"1","11680","11680.1"
"98",127.06790878,37.51821039,34301,FALSE,"1","11680","11680.1"
"99",127.06797037,37.51771819,34302,FALSE,"1","11680","11680.1"
"100",127.06805409,37.5170559,34303,FALSE,"1","11680","11680.1"
"101",127.06822736,37.5157305,34304,FALSE,"1","11680","11680.1"
"102",127.06838635,37.51446902,34305,FALSE,"1","11680","11680.1"
"103",127.06863243,37.51236392,34306,FALSE,"1","11680","11680.1"
"104",127.06864698,37.51223721,34307,FALSE,"1","11680","11680.1"
"105",127.06865925,37.51212993,34308,FALSE,"1","11680","11680.1"
"106",127.06866486,37.51208065,34309,FALSE,"1","11680","11680.1"
"107",127.06867013,37.5120356,34310,FALSE,"1","11680","11680.1"
"108",127.06867679,37.51197788,34311,FALSE,"1","11680","11680.1"
"109",127.06868643,37.51189425,34312,FALSE,"1","11680","11680.1"
"110",127.06869853,37.51178837,34313,FALSE,"1","11680","11680.1"
"111",127.06871467,37.51164842,34314,FALSE,"1","11680","11680.1"
"112",127.06872957,37.51151664,34315,FALSE,"1","11680","11680.1"
"113",127.06874009,37.51141302,34316,FALSE,"1","11680","11680.1"
"114",127.06874674,37.51134798,34317,FALSE,"1","11680","11680.1"
"115",127.06881454,37.51068233,34318,FALSE,"1","11680","11680.1"
"116",127.06881522,37.51067741,34319,FALSE,"1","11680","11680.1"
"117",127.06883701,37.51052183,34320,FALSE,"1","11680","11680.1"
"118",127.06886757,37.51030614,34321,FALSE,"1","11680","11680.1"
"119",127.06886863,37.51029994,34322,FALSE,"1","11680","11680.1"
"120",127.06887179,37.51027601,34323,FALSE,"1","11680","11680.1"
"121",127.06887494,37.51025095,34324,FALSE,"1","11680","11680.1"
"122",127.06888249,37.51019153,34325,FALSE,"1","11680","11680.1"
"123",127.06888898,37.51013916,34326,FALSE,"1","11680","11680.1"
"124",127.06889986,37.51005299,34327,FALSE,"1","11680","11680.1"
"125",127.06891636,37.50992262,34328,FALSE,"1","11680","11680.1"
"126",127.06892601,37.50984462,34329,FALSE,"1","11680","11680.1"
"127",127.06893583,37.50976606,34330,FALSE,"1","11680","11680.1"
"128",127.06895391,37.50962302,34331,FALSE,"1","11680","11680.1"
"129",127.06896531,37.50953122,34332,FALSE,"1","11680","11680.1"
